spot,mafU1x2,mafU2x2,mafU3x2,mafU4x2,mafU5x2,mafU7x2,mafU8x2,mafU9x2,mafU10x2,U12_b7MAF,U14_b8MAF,U11_b6MAF
mafU1x2,,,,,,,,,,,,
mafU2x2,1,,,,,,,,,,,
mafU3x2,0.8,1.2,,,,,,,,,,
mafU4x2,1.8,0.9,1.8,,,,,,,,,
mafU5x2,1.2,1,0.7,1.2,,,,,,,,
mafU7x2,3.8,2.8,3.6,1.9,2.9,,,,,,,
mafU8x2,5.8,4.8,5.3,3.8,4.8,1.8,,,,,,
mafU9x2,6.8,5.8,6.6,4.9,5.9,3,1.2,,,,,
mafU10x2,5.8,5,5.2,4,4.4,2.8,2.5,3.4,,,,
U12_b7MAF,5.8,5.2,5,4.4,4.5,3.8,4,5,1.6,,,
U14_b8MAF,7,6,6.4,5,5.8,3,1.4,1.4,2.2,3.8,,
U11_b6MAF,4.5,4,3.8,3.3,3.2,3,3.6,4.8,1.8,1.2,3.9,